Timestamp,لدي مشكلة في عضلة القلب، و الطييب سيقوم بشرح المشكلة لي، لذلك افضل ان  :,أنهيت مسابقة أو اختبار و أود الحصول على ملاحظات عن طريق..,عندما أتعلم ، أفضل أن :,عندما أريد أن أتعلم لعبة جديدة أو لعبة ورق، فإنني..,عندما ارغب في ايجاد الطريق إلى متجر أوصى به أحد الأصدقاء ، فإنني,"يحتوي موقع الويب على مقطع فيديو يوضح كيفية عمل رسم بياني أو مخطط خاص. هناك شخص يتحدث ، وبعض القوائم والكلمات تصف ما يجب فعله وبعض الرسوم البيانية. سوف أتعلم أكثر من: 
",أريد أن أتعلم القيام بشيء جديد باستخدام جهاز الكمبيوتر ، أود أن :,تريد توفير المال و لديك عدة خيارات، لذلك ..,عند اختيارك لمهنتك أو مجال دراستك، فالامور التي تفضلها هي ...,أرغب بشراء او استئجار منزل أو شقة ، قبل زيارته أود ان ...,أفضل مدرس هو الذي يستخدم:,أريد أن أتعلم كيفية التقاط صور أفضل، أود:,عندما أتعلم من الإنترنت، أحب:,أريد أن أتعرف على مشروع جديد ، أود أن أسأل عن :,"
تريد معرفة المزيد عن الجولة التي ستقوم بها. لذلك تود :",أريد تجميع طاولة خشبية ، سوف أتعلم كيفية القيام بذلك بشكل أفضل من : 
10/17/2020 1:15:53,"يستخدم نموذجا بلاستيكيا ليشرح لي سبب المشكلة, يشرح لي سبب المشكلة بنفسه",استخدام وثف مكتوب عن نتائجي,"أستخدم الأمثلة و التطبيقات, أقرأ الكتب و المقالات, ابحث عن الانماط","أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها, أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة",أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه,"مشاهدة الإجراءات, رؤية المخططات","أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ, اتحدث مع شخص يعرف البرنامج","أناقش كل الأمثلة باستخدام معلوماتي المالية, أستخدم رسوم بيانية التي تعرض خيارات مختلفة لفترات زمنية مختلفة","العمل مع التصاميم أو الخرائط أو الرسوم البيانية, تطبيق معرفتي في مواقف حقيقة","المناقشة مع المالك, أرى مخطط يوضح الغرف و خريطة للمنطقة, وصف مطبوع للغرف و الميزات","العروض التوضيحية أو الجلسات العملية, سؤال و جواي ، حديث ، مناقشة جماعية, مخططات ، خرائط ، رسوم بيانية",طرح الأسئلة و التحدث عن الكاميرا و مميزاتها,"مشاهدة مقاطع فيديو حول كيفية صنع الأشياء, مشاهدة أوصاف و تفسيرات مثيرة للاهتمام","فرصة لمناقشة الموضوع, أمثلة ليتم استخدام المشروع بنجاح","تستخدم الخريطة وأرى أين توجد الأماكن, أقرأ عن الجولة في خط سير الرحلة","مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة, مخططات توضح كل مرحلة من مراحل التجميع"
10/17/2020 1:18:09,"يقترح لي مقالا لأقرأه، يساعدني في فهم سبب المشكلة, يشرح لي سبب المشكلة بنفسه",باستخدام الرسوم البيانية التي تبين ما حققته,أقرأ الكتب و المقالات,أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة,"أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه, أكتب اتجاهات الشارع التي يجب ان أتذكرها",رؤية المخططات,أقرأ التعليمات المكتوبة التي تأتي مع البرنامج,أقرأ كتيب يصف الخيارات بالتفصيل,العمل مع التصاميم أو الخرائط أو الرسوم البيانية,أرى مخطط يوضح الغرف و خريطة للمنطقة,سؤال و جواي ، حديث ، مناقشة جماعية,طرح الأسئلة و التحدث عن الكاميرا و مميزاتها,مشاهدة مقاطع فيديو حول كيفية صنع الأشياء,مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف,أقرأ عن الجولة في خط سير الرحلة,"نصيحة شخص فعل ذلك من قبل, التعليمات المكتوبة التي تأتي مع قطع الطاولة"
10/17/2020 1:18:31,يستخدم نموذجا بلاستيكيا ليشرح لي سبب المشكلة,استخدام أمثلة نن اعمال قمت بها سابقا,أستخدم الأمثلة و التطبيقات,أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة,أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه,رؤية المخططات,أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ,أقرأ كتيب يصف الخيارات بالتفصيل,التواصل مع الآخرين و مناقشتهم,وصف مطبوع للغرف و الميزات,العروض التوضيحية أو الجلسات العملية,طرح الأسئلة و التحدث عن الكاميرا و مميزاتها,مشاهدة مقاطع فيديو حول كيفية صنع الأشياء,"مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف, تقرير يصف السمات الرئيسية للمشروع",تتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة,"مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة, مخططات توضح كل مرحلة من مراحل التجميع"
10/17/2020 1:19:44,يقترح لي مقالا لأقرأه، يساعدني في فهم سبب المشكلة,مناقشة الافكار مع شخص ما,"أقرأ الكتب و المقالات, أحب التحدث عن الأشياء",أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها,أسال احدهم ليخبرني عن الاتجاهات,مشاهدة الإجراءات,"أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ, اتحدث مع شخص يعرف البرنامج","أتحدث مع الخبراء حول الخيارات, أقرأ كتيب يصف الخيارات بالتفصيل",تطبيق معرفتي في مواقف حقيقة,مشاهده فيديو للمتلكات,"العروض التوضيحية أو الجلسات العملية, سؤال و جواي ، حديث ، مناقشة جماعية",استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها,"مشاهدة مقاطع فيديو حول كيفية صنع الأشياء, مشاهدة أوصاف و تفسيرات مثيرة للاهتمام",تقرير يصف السمات الرئيسية للمشروع,تتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة,مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة
10/17/2020 1:21:14,يقترح لي مقالا لأقرأه، يساعدني في فهم سبب المشكلة,استخدام وثف مكتوب عن نتائجي,"أستخدم الأمثلة و التطبيقات, أقرأ الكتب و المقالات, ابحث عن الانماط","أقرأ الإرشادات, أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها",أسال احدهم ليخبرني عن الاتجاهات,"الاستماع, مشاهدة الإجراءات, رؤية المخططات",أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ,"أناقش كل الأمثلة باستخدام معلوماتي المالية, أتحدث مع الخبراء حول الخيارات",التواصل مع الآخرين و مناقشتهم,المناقشة مع المالك,العروض التوضيحية أو الجلسات العملية,"استخدام التعليمات المكتوبة حول ما يجب القيام به, استخدام الرسوم البيانية التي توضح الكاميرا و ما يقوم به كل جزء",مشاهدة مقاطع فيديو حول كيفية صنع الأشياء,أمثلة ليتم استخدام المشروع بنجاح,"تتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة, تستخدم الخريطة وأرى أين توجد الأماكن",مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة
10/17/2020 1:22:26,"يستخدم نموذجا بلاستيكيا ليشرح لي سبب المشكلة, يقترح لي مقالا لأقرأه، يساعدني في فهم سبب المشكلة, يشرح لي اةمشكلة عن طريق رسم بياني, يشرح لي سبب المشكلة بنفسه",استخدام وثف مكتوب عن نتائجي,"أستخدم الأمثلة و التطبيقات, أحب التحدث عن الأشياء","أقرأ الإرشادات, أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة",أستخدم الخريطة,"الاستماع, رؤية المخططات","أقرأ التعليمات المكتوبة التي تأتي مع البرنامج, أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ",أناقش كل الأمثلة باستخدام معلوماتي المالية,"العمل مع التصاميم أو الخرائط أو الرسوم البيانية, تطبيق معرفتي في مواقف حقيقة","مشاهده فيديو للمتلكات, المناقشة مع المالك, أرى مخطط يوضح الغرف و خريطة للمنطقة, وصف مطبوع للغرف و الميزات","العروض التوضيحية أو الجلسات العملية, سؤال و جواي ، حديث ، مناقشة جماعية","استخدام التعليمات المكتوبة حول ما يجب القيام به, طرح الأسئلة و التحدث عن الكاميرا و مميزاتها","التصميم و الميزات البصرية, مشاهدة مقاطع فيديو حول كيفية صنع الأشياء","فرصة لمناقشة الموضوع, تقرير يصف السمات الرئيسية للمشروع","تستخدم الخريطة وأرى أين توجد الأماكن, إلقاء نظرة على تفاصيل حول الأجذاث البارزة و الأنشطة في الجولة","مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة, مخططات توضح كل مرحلة من مراحل التجميع, التعليمات المكتوبة التي تأتي مع قطع الطاولة"
10/17/2020 1:23:22,يستخدم نموذجا بلاستيكيا ليشرح لي سبب المشكلة,باستخدام الرسوم البيانية التي تبين ما حققته,أستخدم الأمثلة و التطبيقات,"أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها, أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة",أسال احدهم ليخبرني عن الاتجاهات,"الاستماع, مشاهدة الإجراءات, قراءة الكلمات","أقرأ التعليمات المكتوبة التي تأتي مع البرنامج, اتحدث مع شخص يعرف البرنامج",أناقش كل الأمثلة باستخدام معلوماتي المالية,"التواصل مع الآخرين و مناقشتهم, حسن استخدام الكلمات في المراسلات( الاتصالات الكتابية)","مشاهده فيديو للمتلكات, أرى مخطط يوضح الغرف و خريطة للمنطقة","العروض التوضيحية أو الجلسات العملية, سؤال و جواي ، حديث ، مناقشة جماعية",استخدام التعليمات المكتوبة حول ما يجب القيام به,"التصميم و الميزات البصرية, مشاهدة مقاطع فيديو حول كيفية صنع الأشياء","فرصة لمناقشة الموضوع, مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف","تتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة, إلقاء نظرة على تفاصيل حول الأجذاث البارزة و الأنشطة في الجولة","مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة, التعليمات المكتوبة التي تأتي مع قطع الطاولة"
10/17/2020 1:24:02,يشرح لي اةمشكلة عن طريق رسم بياني,استخدام وثف مكتوب عن نتائجي,أستخدم الأمثلة و التطبيقات,أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة,أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه,"الاستماع, مشاهدة الإجراءات","أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ, اتحدث مع شخص يعرف البرنامج","أناقش كل الأمثلة باستخدام معلوماتي المالية, أستخدم رسوم بيانية التي تعرض خيارات مختلفة لفترات زمنية مختلفة","العمل مع التصاميم أو الخرائط أو الرسوم البيانية, تطبيق معرفتي في مواقف حقيقة","مشاهده فيديو للمتلكات, المناقشة مع المالك","العروض التوضيحية أو الجلسات العملية, مخططات ، خرائط ، رسوم بيانية","طرح الأسئلة و التحدث عن الكاميرا و مميزاتها, استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها","التصميم و الميزات البصرية, مشاهدة أوصاف و تفسيرات مثيرة للاهتمام","فرصة لمناقشة الموضوع, أمثلة ليتم استخدام المشروع بنجاح, مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف","تتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة, أقرأ عن الجولة في خط سير الرحلة","نصيحة شخص فعل ذلك من قبل, مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة, مخططات توضح كل مرحلة من مراحل التجميع"
10/17/2020 1:25:35,يشرح لي سبب المشكلة بنفسه,استخدام أمثلة نن اعمال قمت بها سابقا,أستخدم الأمثلة و التطبيقات,أقرأ الإرشادات,أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه,قراءة الكلمات,أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ,أقرأ كتيب يصف الخيارات بالتفصيل,تطبيق معرفتي في مواقف حقيقة,مشاهده فيديو للمتلكات,سؤال و جواي ، حديث ، مناقشة جماعية,استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها,مشاهدة أوصاف و تفسيرات مثيرة للاهتمام,فرصة لمناقشة الموضوع,تتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة,التعليمات المكتوبة التي تأتي مع قطع الطاولة
10/17/2020 1:25:36,"يستخدم نموذجا بلاستيكيا ليشرح لي سبب المشكلة, يشرح لي سبب المشكلة بنفسه",باستخدام الرسوم البيانية التي تبين ما حققته,"أستخدم الأمثلة و التطبيقات, ابحث عن الانماط","أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها, أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة","أسال احدهم ليخبرني عن الاتجاهات, أستخدم الخريطة","مشاهدة الإجراءات, قراءة الكلمات","أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ, اتحدث مع شخص يعرف البرنامج",أقرأ كتيب يصف الخيارات بالتفصيل,العمل مع التصاميم أو الخرائط أو الرسوم البيانية,"مشاهده فيديو للمتلكات, وصف مطبوع للغرف و الميزات","العروض التوضيحية أو الجلسات العملية, سؤال و جواي ، حديث ، مناقشة جماعية",استخدام التعليمات المكتوبة حول ما يجب القيام به,مشاهدة مقاطع فيديو حول كيفية صنع الأشياء,"أمثلة ليتم استخدام المشروع بنجاح, مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف","تتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة, تستخدم الخريطة وأرى أين توجد الأماكن","مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة, مخططات توضح كل مرحلة من مراحل التجميع"
10/17/2020 1:28:23,"يقترح لي مقالا لأقرأه، يساعدني في فهم سبب المشكلة, يشرح لي سبب المشكلة بنفسه",مناقشة الافكار مع شخص ما,"أستخدم الأمثلة و التطبيقات, أقرأ الكتب و المقالات, أحب التحدث عن الأشياء, ابحث عن الانماط","أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها, أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة","أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه, أسال احدهم ليخبرني عن الاتجاهات","مشاهدة الإجراءات, رؤية المخططات","أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ, اتحدث مع شخص يعرف البرنامج","أناقش كل الأمثلة باستخدام معلوماتي المالية, أتحدث مع الخبراء حول الخيارات","التواصل مع الآخرين و مناقشتهم, تطبيق معرفتي في مواقف حقيقة","مشاهده فيديو للمتلكات, المناقشة مع المالك","العروض التوضيحية أو الجلسات العملية, سؤال و جواي ، حديث ، مناقشة جماعية","طرح الأسئلة و التحدث عن الكاميرا و مميزاتها, استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها","التصميم و الميزات البصرية, مشاهدة أوصاف و تفسيرات مثيرة للاهتمام","فرصة لمناقشة الموضوع, أمثلة ليتم استخدام المشروع بنجاح, مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف, تقرير يصف السمات الرئيسية للمشروع","تتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة, إلقاء نظرة على تفاصيل حول الأجذاث البارزة و الأنشطة في الجولة, أقرأ عن الجولة في خط سير الرحلة","نصيحة شخص فعل ذلك من قبل, مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة, مخططات توضح كل مرحلة من مراحل التجميع, التعليمات المكتوبة التي تأتي مع قطع الطاولة"
10/17/2020 1:33:46,"يستخدم نموذجا بلاستيكيا ليشرح لي سبب المشكلة, يشرح لي سبب المشكلة بنفسه","استخدام أمثلة نن اعمال قمت بها سابقا, مناقشة الافكار مع شخص ما, باستخدام الرسوم البيانية التي تبين ما حققته","أستخدم الأمثلة و التطبيقات, أقرأ الكتب و المقالات, أحب التحدث عن الأشياء, ابحث عن الانماط","أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها, أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة","أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه, أسال احدهم ليخبرني عن الاتجاهات, أكتب اتجاهات الشارع التي يجب ان أتذكرها","الاستماع, مشاهدة الإجراءات, رؤية المخططات, قراءة الكلمات",اتحدث مع شخص يعرف البرنامج,"أتحدث مع الخبراء حول الخيارات, أستخدم رسوم بيانية التي تعرض خيارات مختلفة لفترات زمنية مختلفة","التواصل مع الآخرين و مناقشتهم, تطبيق معرفتي في مواقف حقيقة","مشاهده فيديو للمتلكات, المناقشة مع المالك, أرى مخطط يوضح الغرف و خريطة للمنطقة","العروض التوضيحية أو الجلسات العملية, سؤال و جواي ، حديث ، مناقشة جماعية","استخدام التعليمات المكتوبة حول ما يجب القيام به, طرح الأسئلة و التحدث عن الكاميرا و مميزاتها, استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها","الاستماع إلى القنوات الصوتية حيث يمكنني الاستماع إلى البودكاست أو المقابلات, مشاهدة أوصاف و تفسيرات مثيرة للاهتمام","فرصة لمناقشة الموضوع, أمثلة ليتم استخدام المشروع بنجاح, تقرير يصف السمات الرئيسية للمشروع","تتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة, إلقاء نظرة على تفاصيل حول الأجذاث البارزة و الأنشطة في الجولة, أقرأ عن الجولة في خط سير الرحلة","نصيحة شخص فعل ذلك من قبل, مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة, التعليمات المكتوبة التي تأتي مع قطع الطاولة"
10/17/2020 1:36:23,"يشرح لي اةمشكلة عن طريق رسم بياني, يشرح لي سبب المشكلة بنفسه","استخدام أمثلة نن اعمال قمت بها سابقا, مناقشة الافكار مع شخص ما","أستخدم الأمثلة و التطبيقات, أحب التحدث عن الأشياء","أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها, أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة","أسال احدهم ليخبرني عن الاتجاهات, أستخدم الخريطة","الاستماع, مشاهدة الإجراءات","أقرأ التعليمات المكتوبة التي تأتي مع البرنامج, اتحدث مع شخص يعرف البرنامج",أتحدث مع الخبراء حول الخيارات,تطبيق معرفتي في مواقف حقيقة,"المناقشة مع المالك, أرى مخطط يوضح الغرف و خريطة للمنطقة, وصف مطبوع للغرف و الميزات","العروض التوضيحية أو الجلسات العملية, سؤال و جواي ، حديث ، مناقشة جماعية","طرح الأسئلة و التحدث عن الكاميرا و مميزاتها, استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها","الاستماع إلى القنوات الصوتية حيث يمكنني الاستماع إلى البودكاست أو المقابلات, مشاهدة أوصاف و تفسيرات مثيرة للاهتمام",أمثلة ليتم استخدام المشروع بنجاح,"إلقاء نظرة على تفاصيل حول الأجذاث البارزة و الأنشطة في الجولة, أقرأ عن الجولة في خط سير الرحلة","نصيحة شخص فعل ذلك من قبل, مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة"
10/17/2020 1:40:45,"يستخدم نموذجا بلاستيكيا ليشرح لي سبب المشكلة, يشرح لي سبب المشكلة بنفسه","مناقشة الافكار مع شخص ما, باستخدام الرسوم البيانية التي تبين ما حققته",أستخدم الأمثلة و التطبيقات,"أقرأ الإرشادات, أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة","أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه, أكتب اتجاهات الشارع التي يجب ان أتذكرها","مشاهدة الإجراءات, رؤية المخططات, قراءة الكلمات","أقرأ التعليمات المكتوبة التي تأتي مع البرنامج, أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ, اتبع الرسوم البيانية","أناقش كل الأمثلة باستخدام معلوماتي المالية, أستخدم رسوم بيانية التي تعرض خيارات مختلفة لفترات زمنية مختلفة","التواصل مع الآخرين و مناقشتهم, تطبيق معرفتي في مواقف حقيقة",أرى مخطط يوضح الغرف و خريطة للمنطقة,"العروض التوضيحية أو الجلسات العملية, سؤال و جواي ، حديث ، مناقشة جماعية","استخدام التعليمات المكتوبة حول ما يجب القيام به, استخدام الرسوم البيانية التي توضح الكاميرا و ما يقوم به كل جزء, استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها","مشاهدة مقاطع فيديو حول كيفية صنع الأشياء, مشاهدة أوصاف و تفسيرات مثيرة للاهتمام","أمثلة ليتم استخدام المشروع بنجاح, مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف, تقرير يصف السمات الرئيسية للمشروع",تتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة,مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة
10/17/2020 1:44:34,"يستخدم نموذجا بلاستيكيا ليشرح لي سبب المشكلة, يشرح لي سبب المشكلة بنفسه",باستخدام الرسوم البيانية التي تبين ما حققته,"أستخدم الأمثلة و التطبيقات, أحب التحدث عن الأشياء","أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها, أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة","أسال احدهم ليخبرني عن الاتجاهات, أستخدم الخريطة","الاستماع, رؤية المخططات","أقرأ التعليمات المكتوبة التي تأتي مع البرنامج, أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ, اتحدث مع شخص يعرف البرنامج","أناقش كل الأمثلة باستخدام معلوماتي المالية, أتحدث مع الخبراء حول الخيارات","التواصل مع الآخرين و مناقشتهم, تطبيق معرفتي في مواقف حقيقة","مشاهده فيديو للمتلكات, المناقشة مع المالك, أرى مخطط يوضح الغرف و خريطة للمنطقة, وصف مطبوع للغرف و الميزات","العروض التوضيحية أو الجلسات العملية, مخططات ، خرائط ، رسوم بيانية","استخدام الرسوم البيانية التي توضح الكاميرا و ما يقوم به كل جزء, استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها","مشاهدة مقاطع فيديو حول كيفية صنع الأشياء, مشاهدة أوصاف و تفسيرات مثيرة للاهتمام","فرصة لمناقشة الموضوع, مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف","تتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة, تستخدم الخريطة وأرى أين توجد الأماكن","مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة, التعليمات المكتوبة التي تأتي مع قطع الطاولة"
10/17/2020 1:50:48,يستخدم نموذجا بلاستيكيا ليشرح لي سبب المشكلة,مناقشة الافكار مع شخص ما,"أستخدم الأمثلة و التطبيقات, ابحث عن الانماط","أقرأ الإرشادات, أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة",أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه,مشاهدة الإجراءات,"أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ, اتحدث مع شخص يعرف البرنامج","أتحدث مع الخبراء حول الخيارات, أقرأ كتيب يصف الخيارات بالتفصيل",تطبيق معرفتي في مواقف حقيقة,المناقشة مع المالك,"سؤال و جواي ، حديث ، مناقشة جماعية, مخططات ، خرائط ، رسوم بيانية",استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها,"مشاهدة مقاطع فيديو حول كيفية صنع الأشياء, مشاهدة أوصاف و تفسيرات مثيرة للاهتمام",أمثلة ليتم استخدام المشروع بنجاح,أقرأ عن الجولة في خط سير الرحلة,مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة
10/17/2020 1:51:43,يشرح لي سبب المشكلة بنفسه,مناقشة الافكار مع شخص ما,أستخدم الأمثلة و التطبيقات,أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها,"أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه, أستخدم الخريطة",مشاهدة الإجراءات,أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ,أناقش كل الأمثلة باستخدام معلوماتي المالية,تطبيق معرفتي في مواقف حقيقة,مشاهده فيديو للمتلكات,العروض التوضيحية أو الجلسات العملية,استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها,التصميم و الميزات البصرية,مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف,تستخدم الخريطة وأرى أين توجد الأماكن,مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة
10/17/2020 1:52:42,"يستخدم نموذجا بلاستيكيا ليشرح لي سبب المشكلة, يشرح لي سبب المشكلة بنفسه","استخدام أمثلة نن اعمال قمت بها سابقا, مناقشة الافكار مع شخص ما","أستخدم الأمثلة و التطبيقات, أقرأ الكتب و المقالات, أحب التحدث عن الأشياء, ابحث عن الانماط","أقرأ الإرشادات, أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة","أسال احدهم ليخبرني عن الاتجاهات, أستخدم الخريطة, أكتب اتجاهات الشارع التي يجب ان أتذكرها","الاستماع, مشاهدة الإجراءات, رؤية المخططات, قراءة الكلمات","أقرأ التعليمات المكتوبة التي تأتي مع البرنامج, أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ, اتحدث مع شخص يعرف البرنامج, اتبع الرسوم البيانية","أناقش كل الأمثلة باستخدام معلوماتي المالية, أتحدث مع الخبراء حول الخيارات, أقرأ كتيب يصف الخيارات بالتفصيل","العمل مع التصاميم أو الخرائط أو الرسوم البيانية, التواصل مع الآخرين و مناقشتهم, حسن استخدام الكلمات في المراسلات( الاتصالات الكتابية), تطبيق معرفتي في مواقف حقيقة","المناقشة مع المالك, أرى مخطط يوضح الغرف و خريطة للمنطقة","العروض التوضيحية أو الجلسات العملية, سؤال و جواي ، حديث ، مناقشة جماعية, نشرات أو كتب أو قراءات, مخططات ، خرائط ، رسوم بيانية","استخدام التعليمات المكتوبة حول ما يجب القيام به, طرح الأسئلة و التحدث عن الكاميرا و مميزاتها, استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها","التصميم و الميزات البصرية, مشاهدة مقاطع فيديو حول كيفية صنع الأشياء, الاستماع إلى القنوات الصوتية حيث يمكنني الاستماع إلى البودكاست أو المقابلات","فرصة لمناقشة الموضوع, أمثلة ليتم استخدام المشروع بنجاح, تقرير يصف السمات الرئيسية للمشروع","تتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة, تستخدم الخريطة وأرى أين توجد الأماكن, إلقاء نظرة على تفاصيل حول الأجذاث البارزة و الأنشطة في الجولة, أقرأ عن الجولة في خط سير الرحلة","نصيحة شخص فعل ذلك من قبل, مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة, مخططات توضح كل مرحلة من مراحل التجميع"
10/17/2020 1:53:07,يشرح لي سبب المشكلة بنفسه,مناقشة الافكار مع شخص ما,أستخدم الأمثلة و التطبيقات,أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة,أسال احدهم ليخبرني عن الاتجاهات,مشاهدة الإجراءات,أقرأ التعليمات المكتوبة التي تأتي مع البرنامج,أستخدم رسوم بيانية التي تعرض خيارات مختلفة لفترات زمنية مختلفة,تطبيق معرفتي في مواقف حقيقة,"أرى مخطط يوضح الغرف و خريطة للمنطقة, وصف مطبوع للغرف و الميزات",سؤال و جواي ، حديث ، مناقشة جماعية,استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها,مشاهدة أوصاف و تفسيرات مثيرة للاهتمام,مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف,إلقاء نظرة على تفاصيل حول الأجذاث البارزة و الأنشطة في الجولة,مخططات توضح كل مرحلة من مراحل التجميع
